Date,State,FIPS,Total Cases,Total Deaths
2020-03-04,New Jersey,34,1,0
2020-03-05,New Jersey,34,2,0
2020-03-06,New Jersey,34,4,0
2020-03-07,New Jersey,34,4,0
2020-03-08,New Jersey,34,6,0
2020-03-09,New Jersey,34,11,0
2020-03-10,New Jersey,34,15,1
2020-03-11,New Jersey,34,23,1
2020-03-12,New Jersey,34,29,1
2020-03-13,New Jersey,34,50,1
2020-03-14,New Jersey,34,75,2
2020-03-15,New Jersey,34,98,2
2020-03-16,New Jersey,34,176,3
2020-03-17,New Jersey,34,268,3
2020-03-18,New Jersey,34,427,5
2020-03-19,New Jersey,34,735,9
2020-03-20,New Jersey,34,896,11
2020-03-21,New Jersey,34,1336,16
2020-03-22,New Jersey,34,1914,20
2020-03-23,New Jersey,34,2844,27
2020-03-24,New Jersey,34,3675,44
2020-03-25,New Jersey,34,4402,62
2020-03-26,New Jersey,34,6876,82
2020-03-27,New Jersey,34,8825,108
2020-03-28,New Jersey,34,11124,140
2020-03-29,New Jersey,34,13386,161
2020-03-30,New Jersey,34,16636,199
2020-03-31,New Jersey,34,18696,267
2020-04-01,New Jersey,34,22255,355
2020-04-02,New Jersey,34,25590,539
2020-04-03,New Jersey,34,29895,647
2020-04-04,New Jersey,34,34124,847
2020-04-05,New Jersey,34,37505,917
2020-04-06,New Jersey,34,41090,1005
2020-04-07,New Jersey,34,44416,1232
2020-04-08,New Jersey,34,47437,1504
